Counter,Date/time,Latitude,Longitude,Sunlight
48,2022-05-13 14:27:59.999700,-51.094672549157075,-43.28661019730634,1
49,2022-05-13 14:28:18.357737,-51.285330295952654,-41.50908291479951,1
50,2022-05-13 14:28:36.718164,-51.44645063139669,-39.71714699258378,1
51,2022-05-13 14:28:55.084588,-51.57766947487742,-37.91268595560105,1
52,2022-05-13 14:29:13.448568,-51.67860663255927,-36.09889734721811,1
53,2022-05-13 14:29:31.812565,-51.749040592133646,-34.277984264253355,1
54,2022-05-13 14:29:50.179668,-51.788805408085565,-32.45215982713758,1
55,2022-05-13 14:30:08.548101,-51.79778978707895,-30.624162190118902,1
56,2022-05-13 14:30:26.909466,-51.77598229475591,-28.79740616998486,1
57,2022-05-13 14:30:45.269800,-51.72344950612693,-26.9738769681605,1
58,2022-05-13 14:31:03.633357,-51.64030142340201,-25.15569698958416,1
59,2022-05-13 14:31:21.997311,-51.526742329255605,-23.345640414473994,1
60,2022-05-13 14:31:40.360367,-51.38305142201659,-21.546236951809316,1
61,2022-05-13 14:31:58.722888,-51.209568483285004,-19.759777531611448,1
62,2022-05-13 14:32:17.084306,-51.00670436427273,-17.98850839866014,1
63,2022-05-13 14:32:35.446823,-50.774895908441984,-16.23427989895628,1
64,2022-05-13 14:32:53.809194,-50.51467110128179,-14.499119631474976,1
65,2022-05-13 14:33:12.175722,-50.22652308979787,-12.784375673318099,1
66,2022-05-13 14:33:30.540261,-49.91115172561808,-11.092215425628446,1
67,2022-05-13 14:33:48.901037,-49.569244676233424,-9.424200055044858,1
68,2022-05-13 14:34:07.261830,-49.201417061485884,-7.781218100084659,1
69,2022-05-13 14:34:25.623492,-48.80835346526184,-6.164258886370303,1
70,2022-05-13 14:34:43.984362,-48.39081273091962,-4.574357926932304,1
71,2022-05-13 14:35:02.347060,-47.949477418059224,-3.0120317600454545,1
72,2022-05-13 14:35:20.712223,-47.48507115073329,-1.4777888392093175,1
73,2022-05-13 14:35:39.075814,-46.99845478045974,0.027605153892607665,1
74,2022-05-13 14:35:57.440782,-46.49031194120274,1.5041133388333316,1
